[23:56:39] Picarto.tv TomyAtemo, TomyAtemo: hola :O
[0:12:30] Picarto.tv TomyAtemo, Derianart: hola c:
[0:12:41] Picarto.tv TomyAtemo, Derianart: volvi con un rol de canela calientico
[0:13:05] Picarto.tv TomyAtemo, TomyAtemo: :O
[0:13:08] Picarto.tv TomyAtemo, TomyAtemo: best
[0:33:49] Picarto.tv TomyAtemo, Derianart: el roll ha sido comido
[0:33:58] Picarto.tv TomyAtemo, Derianart: :cderianart-ostia: a trabajar
[0:42:36] Picarto.tv TomyAtemo, TomyAtemo: yes
[0:42:49] Picarto.tv TomyAtemo, TomyAtemo: me di un descanso pero acabo de volver
[0:46:35] Picarto.tv TomyAtemo, Derianart: noice
[0:46:52] Picarto.tv TomyAtemo, Derianart: yo tengo pendientes 3 dibujos asi que estare aca un buen rato
[0:47:01] Picarto.tv TomyAtemo, TomyAtemo: :O
[0:47:12] Picarto.tv TomyAtemo, TomyAtemo: yo probablemente me vaya a acostar en 30 minutos
[0:47:25] Picarto.tv TomyAtemo, TomyAtemo: mañana tengo que levantarme temprano :/
[0:48:16] Picarto.tv TomyAtemo, Derianart: EGH
[0:57:16] Picarto.tv TomyAtemo, cecibarbs: oh ;w;
[1:20:24] Picarto.tv TomyAtemo, TomyAtemo: yap, me voy a acostar
[1:20:33] Picarto.tv TomyAtemo, TomyAtemo: estoy demasiado cansado XD
[1:20:37] Picarto.tv TomyAtemo, TomyAtemo: buenas noches :D
